Coefficient,Happiness,Economy,Family,Health,Freedom,Government,Generosity,Dystopia
Happiness,1.00,0.79,0.74,0.77,0.57,0.40,0.16,0.54
Economy,0.79,1.00,0.67,0.84,0.36,0.29,-0.03,0.07
Family,0.74,0.67,1.00,0.59,0.45,0.21,0.09,0.12
Health,0.77,0.84,0.59,1.00,0.34,0.25,0.08,0.10
Freedom,0.57,0.36,0.45,0.34,1.00,0.50,0.36,0.09
Government,0.40,0.29,0.21,0.25,0.50,1.00,0.31,0.00
Generosity,0.16,-0.03,0.09,0.08,0.36,0.31,1.00,-0.13
Dystopia,0.54,0.07,0.12,0.10,0.09,0.00,-0.13,1.00
,,,,,,,,
p,Happiness,Economy,Family,Health,Freedom,Government,Generosity,Dystopia
Happiness,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00
Economy,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Family,0.00,0.00,0.00,0.00,0.00,0.08,1.00,1.00
Health,0.00,0.00,0.00,0.00,0.00,0.02,1.00,1.00
Freedom,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Government,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.00
Generosity,0.05,0.75,0.26,0.34,0.00,0.00,0.00,0.87
Dystopia,0.00,0.39,0.14,0.21,0.25,0.97,0.10,0.00
